國音第一式	漢語拼音	通用拼音	國音第二式	WG
ㄋㄨㄣ	NUN	-	NUEN	NUN
ㄋㄨㄥ	NONG	NONG	NUNG	NUNG
ㄋㄩ	NU	NYU	NIU	NU
ㄋㄩㄝ	NUE	NYUE	NIUE	NUEH

ㄌㄚ	LA	LA	LA	LA
ㄌㄛ	LO	LO	-	-
ㄌㄜ	LE	LE	LE	LE
ㄌㄞ	LAI	LAI	LAI	LAI
ㄌㄟ	LEI	LEI	LEI	LEI
ㄌㄠ	LAO	LAO	LAU	LAO
ㄌㄡ	LOU	LOU	LOU	LOU
ㄌㄢ	LAN	LAN	LAN	LAN
ㄌㄤ	LANG	LANG	LANG	LANG
ㄌㄥ	LENG	LENG	LENG	LENG
ㄌㄧ	LI	LI	LI	LI
ㄌㄧㄚ	LIA	LIA	LIA	LIA
ㄌㄧㄝ	LIE	LIE	LIE	LIEH
ㄌㄧㄠ	LIAO	LIAO	LIAU	LIAO
ㄌㄧㄡ	LIU	LIOU	LIOU	LIU
ㄌㄧㄢ	LIAN	LIAN	LIAN	LIEN
ㄌㄧㄣ	LIN	LIN	LIN	LIN
ㄌㄧㄤ	LIANG	LIANG	LIANG	LIANG
ㄌㄧㄥ	LING	LING	LING	LING
ㄌㄨ	LU	LU	LU	LU
ㄌㄨㄛ	LUO	LUO	LUO	LO
ㄌㄨㄢ	LUAN	LUAN	LUAN	LUAN
ㄌㄨㄣ	LUN	LUN	LUEN	LUN
ㄌㄨㄥ	LONG	LONG	LUNG	LUNG
ㄌㄩ	LU	LYU	LIU	LU
ㄌㄩㄝ	LUE	LYUE	LIUE	LUEH
ㄌㄩㄢ	LUAN	-	LIUAN	LUAN

ㄍㄚ	GA	GA	GA	KA
ㄍㄜ	GE	GE	GE	KE,KO
ㄍㄞ	GAI	GAI	GAI	KAI
ㄍㄟ	GEI	GEI	GEI	KEI
ㄍㄠ	GAO	GAO	GAU	KAO
ㄍㄡ	GOU	GOU	GOU	KOU
ㄍㄢ	GAN	GAN	GAN	KAN
ㄍㄣ	GEN	GEN	GEN	KEN
ㄍㄤ	GANG	GANG	GANG	KANG
ㄍㄥ	GENG	GENG	GENG	KENG
ㄍㄨ	GU	GU	GU	KU
ㄍㄨㄚ	GUA	GUA	GUA	KUA
ㄍㄨㄛ	GUO	GUO	GUO	KUO
ㄍㄨㄞ	GUAI	GUAI	GUAI	KUAI
ㄍㄨㄟ	GUI	GUEI	GUEI	KUEI
ㄍㄨㄢ	GUAN	GUAN	GUAN	KUAN
ㄍㄨㄣ	GUN	GUN	GUEN	KUN
ㄍㄨㄤ	GUANG	GUANG	GUANG	KUANG
ㄍㄨㄥ	GONG	GONG	GUNG	KUNG

ㄎㄚ	KA	KA	KA	KA
ㄎㄜ	KE	KE	KE	KE,KO
ㄎㄞ	KAI	KAI	KAI	KAI
ㄎㄠ	KAO	KAO	KAU	KAO
ㄎㄡ	KOU	KOU	KOU	KOU
ㄎㄢ	KAN	KAN	KAN	KAN
ㄎㄣ	KEN	KEN	KEN	KEN
ㄎㄤ	KANG	KANG	KANG	KANG
ㄎㄥ	KENG	KENG	KENG	KENG
ㄎㄨ	KU	KU	KU	KU
ㄎㄨㄚ	KUA	KUA	KUA	KUA
ㄎㄨㄛ	KUO	KUO	KUO	KUO
ㄎㄨㄞ	KUAI	KUAI	KUAI	KUAI
ㄎㄨㄟ	KUI	KUEI	KUEI	KUEI
ㄎㄨㄢ	KUAN	KUAN	KUAN	KUAN
ㄎㄨㄣ	KUN	KUN	KUEN	KUN
ㄎㄨㄤ	KUANG	KUANG	KUANG	KUANG
ㄎㄨㄥ	KONG	KONG	KUNG	KUNG

ㄏㄚ	HA	HA	HA	HA
ㄏㄜ	HE	HE	HE	HE,HO
ㄏㄞ	HAI	HAI	HAI	HAI
ㄏㄟ	HEI	HEI	HEI	HEI
ㄏㄠ	HAO	HAO	HAU	HAO
ㄏㄡ	HOU	HOU	HOU	HOU
ㄏㄢ	HAN	HAN	HAN	HAN
ㄏㄣ	HEN	HEN	HEN	HEN
ㄏㄤ	HANG	HANG	HANG	HANG
ㄏㄥ	HENG	HENG	HENG	HENG
ㄏㄨ	HU	HU	HU	HU
ㄏㄨㄚ	HUA	HUA	HUA	HUA
ㄏㄨㄛ	HUO	HUO	HUO	HUO
ㄏㄨㄞ	HUAI	HUAI	HUAI	HUAI
ㄏㄨㄟ	HUI	HUEI	HUEI	HUI
ㄏㄨㄢ	HUAN	HUAN	HUAN	HUAN
ㄏㄨㄣ	HUN	HUN	HUEN	HUN
ㄏㄨㄤ	HUANG	HUANG	HUANG	HUANG
ㄏㄨㄥ	HONG	HONG	HUNG	HUNG

ㄐㄧ	JI	JI	JI	CHI
ㄐㄧㄚ	JIA	JIA	JIA	CHIA
ㄐㄧㄝ	JIE	JIE	JIE	CHIEH
ㄐㄧㄠ	JIAO	JIAO	JIAU	CHIAO
ㄐㄧㄡ	JIU	JIOU	JIOU	CHIU
ㄐㄧㄢ	JIAN	JIAN	JIAN	CHIEN
ㄐㄧㄣ	JIN	JIN	JIN	CHIN
ㄐㄧㄤ	JIANG	JIANG	JIANG	CHIANG
ㄐㄧㄥ	JING	JING	JING	CHING
ㄐㄩ	JU	JYU	JIU	CHU
ㄐㄩㄝ	JUE	JYUE	JIUE	CHUEH
ㄐㄩㄢ	JUAN	JYUAN	JIUAN	CHUAN
ㄐㄩㄣ	JUN	JYUN	JIUN	CHUN
ㄐㄩㄥ	JIONG	JYONG	JIUNG	CHIUNG

ㄑㄧ	QI	CI	CHI	CHI
ㄑㄧㄚ	QIA	CIA	CHIA	CHIA
ㄑㄧㄝ	QIE	CIE	CHIE	CHIEH
ㄑㄧㄠ	QIAO	CIAO	CHIAU	CHIAO
ㄑㄧㄡ	QIU	CIOU	CHIOU	CHIU
ㄑㄧㄢ	QIAN	CIAN	CHIAN	CHIEN
ㄑㄧㄣ	QIN	CIN	CHIN	CHIN
ㄑㄧㄤ	QIANG	CIANG	CHIANG	CHIANG
ㄑㄧㄥ	QING	CING	CHING	CHING
ㄑㄩ	QU	CYU	CHIU	CHU
ㄑㄩㄝ	QUE	CYUE	CHIUE	CHUEH
ㄑㄩㄢ	QUAN	CYUAN	CHIUAN	CHUAN
ㄑㄩㄣ	QUN	CYUN	CHIUN	CHUN
ㄑㄩㄥ	QIONG	CYONG	CHIUNG	CHIUNG

ㄒㄧ	XI	SI	SHI	HSI
ㄒㄧㄚ	XIA	SIA	SHIA	HSIA
ㄒㄧㄝ	XIE	SIE	SHIE	HSIEH
ㄒㄧㄠ	XIAO	SIAO	SHIAU	HSIAO
ㄒㄧㄡ	XIU	SIOU	SHIOU	HSIU
ㄒㄧㄢ	XIAN	SIAN	SHIAN	HSIEN
ㄒㄧㄣ	XIN	SIN	SHIN	HSIN
ㄒㄧㄤ	XIANG	SIANG	SHIANG	HSIANG
ㄒㄧㄥ	XING	SING	SHING	HSING
ㄒㄩ	XU	SYU	SHIU	HSU
ㄒㄩㄝ	XUE	SYUE	SHIUE	HSUEH
ㄒㄩㄢ	XUAN	SYUAN	SHIUAN	HSUAN
ㄒㄩㄣ	XUN	SYUN	SHIUN	HSUN
ㄒㄩㄥ	XIONG	SYONG	SHIUNG	HSIUNG

ㄓ	ZHI	JHIH	JR	CHIH
ㄓㄚ	ZHA	JHA	JA	CHA
ㄓㄜ	ZHE	JHE	JE	CHE
ㄓㄞ	ZHAI	JHAI	JAI	CHAI
ㄓㄟ	ZHEI	-	JEI	CHEI
ㄓㄠ	ZHAO	JHAO	JAU	CHAO
ㄓㄡ	ZHOU	JHOU	JOU	CHOU
ㄓㄢ	ZHAN	JHAN	JAN	CHAN
ㄓㄣ	ZHEN	JHEN	JEN	CHEN
ㄓㄤ	ZHANG	JHANG	JANG	CHANG
ㄓㄥ	ZHENG	JHENG	JENG	CHENG
ㄓㄨ	ZHU	JHU	JU	CHU
ㄓㄨㄚ	ZHUA	JHUA	JUA	CHUA
ㄓㄨㄛ	ZHUO	JHUO	JUO	CHO
ㄓㄨㄞ	ZHUAI	JHUAI	JUAI	CHUAI
ㄓㄨㄟ	ZHUI	JHUEI	JUEI	CHUI
ㄓㄨㄢ	ZHUAN	JHUAN	JUAN	CHUAN
ㄓㄨㄣ	ZHUN	JHUN	JUEN	CHUN
ㄓㄨㄤ	ZHUANG	JHUANG	JUANG	CHUANG
ㄓㄨㄥ	ZHONG	JHONG	JUNG	CHUNG

ㄔ	CHI	CHIH	CHR	CHIH
ㄔㄚ	CHA	CHA	CHA	CHA
ㄔㄜ	CHE	CHE	CHE	CHE
ㄔㄞ	CHAI	CHAI	CHAI	CHAI
ㄔㄠ	CHAO	CHAO	CHAU	CHAO
ㄔㄡ	CHOU	CHOU	CHOU	CHOU
ㄔㄢ	CHAN	CHAN	CHAN	CHAN
ㄔㄣ	CHEN	CHEN	CHEN	CHEN
ㄔㄤ	CHANG	CHANG	CHANG	CHANG
ㄔㄥ	CHENG	CHENG	CHENG	CHENG
ㄔㄨ	CHU	CHU	CHU	CHU
ㄔㄨㄚ	CHUA	CHUA	CHUA	CHUA
ㄔㄨㄛ	CHUO	CHUO	CHUO	CHO
ㄔㄨㄞ	CHUAI	CHUAI	CHUAI	CHUAI
ㄔㄨㄟ	CHUI	CHUEI	CHUEI	CHUI
ㄔㄨㄢ	CHUAN	CHUAN	CHUAN	CHUAN
ㄔㄨㄣ	CHUN	CHUN	CHUEN	CHUN
ㄔㄨㄤ	CHUANG	CHUANG	CHUANG	CHUANG
ㄔㄨㄥ	CHONG	CHONG	CHUNG	CHUNG

ㄕ	SHI	SHIH	SHR	SHIH
ㄕㄚ	SHA	SHA	SHA	SHA
ㄕㄜ	SHE	SHE	SHE	SHE
ㄕㄞ	SHAI	SHAI	SHAI	SHAI
ㄕㄟ	SHEI	SHEI	SHEI	SHEI
ㄕㄠ	SHAO	SHAO	SHAU	SHAO
ㄕㄡ	SHOU	SHOU	SHOU	SHOU
ㄕㄢ	SHAN	SHAN	SHAN	SHAN
ㄕㄣ	SHEN	SHEN	SHEN	SHEN
ㄕㄤ	SHANG	SHANG	SHANG	SHANG
ㄕㄥ	SHENG	SHENG	SHENG	SHENG
ㄕㄨ	SHU	SHU	SHU	SHU
ㄕㄨㄚ	SHUA	SHUA	SHUA	SHUA
ㄕㄨㄛ	SHUO	SHUO	SHUO	SHUO
ㄕㄨㄞ	SHUAI	SHUAI	SHUAI	SHUAI
ㄕㄨㄟ	SHUI	SHUEI	SHUEI	SHUI
ㄕㄨㄢ	SHUAN	SHUAN	SHUAN	SHUAN
ㄕㄨㄣ	SHUN	SHUN	SHUEN	SHUN
ㄕㄨㄤ	SHUANG	SHUANG	SHUANG	SHUANG

ㄖ	RI	RIH	R	JIH
ㄖㄜ	RE	RE	RE	JE
ㄖㄠ	RAO	RAO	RAU	JAO
ㄖㄡ	ROU	ROU	ROU	JOU
ㄖㄢ	RAN	RAN	RAN	JAN
ㄖㄣ	REN	REN	REN	JEN
ㄖㄤ	RANG	RANG	RANG	JANG
ㄖㄥ	RENG	RENG	RENG	JENG
ㄖㄨ	RU	RU	RU	JU
ㄖㄨㄛ	RUO	RUO	RUO	JO
ㄖㄨㄟ	RUI	RUEI	RUEI	JUI
ㄖㄨㄢ	RUAN	RUAN	RUAN	JUAN
ㄖㄨㄣ	RUN	RUN	RUEN	JUN
ㄖㄨㄥ	RONG	RONG	RUNG	JUNG

ㄗ	ZI	ZIH	TZ	TZU
ㄗㄚ	ZA	ZA	TZA	TSA
ㄗㄜ	ZE	ZE	TZE	TSE
ㄗㄞ	ZAI	ZAI	TZAI	TSAI
ㄗㄟ	ZEI	ZEI	TZEI	TSEI
ㄗㄠ	ZAO	ZAO	TZAU	TSAO
ㄗㄡ	ZOU	ZOU	TZOU	TSOU
ㄗㄢ	ZAN	ZAN	TZAN	TSAN
ㄗㄣ	ZEN	ZEN	TZEN	TSEN
ㄗㄤ	ZANG	ZANG	TZANG	TSANG
ㄗㄥ	ZENG	ZENG	TZENG	TSENG
ㄗㄨ	ZU	ZU	TZU	TSU
ㄗㄨㄛ	ZUO	ZUO	TZUO	TSO
ㄗㄨㄟ	ZUI	ZUEI	TZUEI	TSUI
ㄗㄨㄢ	ZUAN	ZUAN	TZUAN	TSUAN
ㄗㄨㄣ	ZUN	ZUN	TZUEN	TSUN
ㄗㄨㄥ	ZONG	ZONG	TZUNG	TSUNG

ㄘ	CI	CIH	TSZ	TZU
ㄘㄚ	CA	CA	TSA	TSA
ㄘㄜ	CE	CE	TSE	TSE
ㄘㄞ	CAI	CAI	TSAI	TSAI
ㄘㄠ	CAO	CAO	TSAU	TSAO
ㄘㄡ	COU	COU	TSOU	TSOU
ㄘㄢ	CAN	CAN	TSAN	TSAN
ㄘㄣ	CEN	CEN	TSEN	TSEN
ㄘㄤ	CANG	CANG	TSANG	TSANG
ㄘㄥ	CENG	CENG	TSENG	TSENG
ㄘㄨ	CU	CU	TSU	TSU
ㄘㄨㄛ	CUO	CUO	TSUO	TSO
ㄘㄨㄟ	CUI	CUEI	TSUEI	TSUI
ㄘㄨㄢ	CUAN	CUAN	TSUAN	TSUAN
ㄘㄨㄣ	CUN	CUN	TSUEN	TSUN
ㄘㄨㄥ	CONG	CONG	TSUNG	TSUNG

ㄙ	SI	SIH	SZ	SSU
ㄙㄚ	SA	SA	SA	SA
ㄙㄜ	SE	SE	SE	SE
ㄙㄞ	SAI	SAI	SAI	SAI
ㄙㄠ	SAO	SAO	SAU	SAO
ㄙㄡ	SOU	SOU	SOU	SOU
ㄙㄢ	SAN	SAN	SAN	SAN
ㄙㄣ	SEN	SEN	SEN	SEN
ㄙㄤ	SANG	SANG	SANG	SANG
ㄙㄥ	SENG	SENG	SENG	SENG
ㄙㄨ	SU	SU	SU	SU
ㄙㄨㄛ	SUO	SUO	SUO	SO
ㄙㄨㄟ	SUI	SUEI	SUEI	SUI
ㄙㄨㄢ	SUAN	SUAN	SUAN	SUAN
ㄙㄨㄣ	SUN	SUN	SUEN	SUN
ㄙㄨㄥ	SONG	SONG	SUNG	SUNG

ㄧ	YI	YI	YI	YI,I
ㄧㄚ	YA	YA	YA	YA
ㄧㄛ	-	YO	-	-
ㄧㄝ	YE	YE	YE	YEH
ㄧㄞ	YAI	YAI	YAI	YAI
ㄧㄠ	YAO	YAO	YAU	YAO
ㄧㄡ	YOU	YOU	YOU	YU
ㄧㄢ	YAN	YAN	YAN	YEN
ㄧㄣ	YIN	YIN	YIN	YIN
ㄧㄤ	YANG	YANG	YANG	YANG
ㄧㄥ	YING	YING	YING	YING

ㄨ	WU	WU	WU	WU
ㄨㄚ	WA	WA	WA	WA
ㄨㄛ	WO	WO	WO	WO
ㄨㄞ	WAI	WAI	WAI	WAI
ㄨㄟ	WEI	WEI	WEI	WEI
ㄨㄢ	WAN	WAN	WAN	WAN
ㄨㄣ	WEN	WUN	WEN	WEN
ㄨㄤ	WANG	WANG	WANG	WANG
ㄨㄥ	WENG	WONG	WENG	WENG

ㄩ	YU	YU	YU	YU
ㄩㄝ	YUE	YUE	YUE	YUEH
ㄩㄢ	YUAN	YUAN	YUAN	YUAN
ㄩㄣ	YUN	YUN	YUN	YUN
ㄩㄥ	YONG	YONG	YUNG	YUNG

ㄚ	A	A	A	A
ㄛ	O	O	-	-
ㄜ	E	E	E	E,O
ㄞ	AI	AI	AI	AI
ㄟ	EI	-	-	-
ㄠ	AO	AO	AU	AO
ㄡ	OU	OU	OU	OU
ㄢ	AN	AN	AN	AN
ㄣ	EN	EN	EN	EN
ㄤ	ANG	ANG	ANG	ANG
ㄥ	ENG	 	 	 
ㄦ	ER	ER	ER	ERH
